ID,ISSUE_DATE,PERMIT_TYPE,LATITUDE,LONGITUDE, ESTIMATED_COST ,ISSUE_YEAR,Min_Cost
2846095,7/11/2017,PERMIT - NEW CONSTRUCTION,41.89460976,-87.63400082,"$17,464,659.00 ",2017,875407.73
2892325,3/26/2018,PERMIT - RENOVATION/ALTERATION,41.96561054,-87.77245066,"$17,720,000.00 ",2018,9.00E+05
2724088,1/23/2017,PERMIT - NEW CONSTRUCTION,42.0085364,-87.91442844,"$18,500,000.00 ",2017,875407.73
2816478,5/16/2017,PERMIT - RENOVATION/ALTERATION,41.89824618,-87.63411666,"$18,500,000.00 ",2017,875407.73
2890351,3/15/2018,PERMIT - RENOVATION/ALTERATION,41.92148453,-87.66702583,"$18,500,000.00 ",2018,9.00E+05
2776720,1/17/2017,PERMIT - RENOVATION/ALTERATION,41.88807943,-87.62404737,"$19,000,000.00 ",2017,875407.73
2816027,6/14/2017,PERMIT - NEW CONSTRUCTION,41.92474121,-87.64756347,"$19,000,000.00 ",2017,875407.73
2856789,7/10/2017,PERMIT - NEW CONSTRUCTION,41.88874104,-87.63708054,"$19,000,000.00 ",2017,875407.73
2926069,4/23/2018,PERMIT - RENOVATION/ALTERATION,41.89665988,-87.62175524,"$19,044,364.00 ",2018,9.00E+05
2895792,2/14/2018,PERMIT - RENOVATION/ALTERATION,41.88052759,-87.63562385,"$19,612,336.00 ",2018,9.00E+05
2806519,2/27/2017,PERMIT - NEW CONSTRUCTION,41.89168232,-87.63273071,"$20,000,000.00 ",2017,875407.73
2826047,6/26/2017,PERMIT - RENOVATION/ALTERATION,41.80304615,-87.72200673,"$20,000,000.00 ",2017,875407.73
2847808,10/13/2017,PERMIT - NEW CONSTRUCTION,41.87677516,-87.64761343,"$20,000,000.00 ",2017,875407.73
2865495,8/16/2017,PERMIT - RENOVATION/ALTERATION,41.88449949,-87.63523358,"$20,000,000.00 ",2017,875407.73
2882175,10/12/2017,PERMIT - RENOVATION/ALTERATION,41.94731749,-87.65641795,"$20,000,000.00 ",2017,875407.73
2845774,4/20/2018,PERMIT - RENOVATION/ALTERATION,41.97412953,-87.6599553,"$20,000,000.00 ",2018,9.00E+05
2891438,5/16/2018,PERMIT - NEW CONSTRUCTION,41.80080592,-87.71246788,"$20,000,000.00 ",2018,9.00E+05
2899308,4/19/2018,PERMIT - NEW CONSTRUCTION,41.81565537,-87.67730749,"$20,786,692.00 ",2018,9.00E+05
2856618,8/23/2017,PERMIT - RENOVATION/ALTERATION,41.87736776,-87.63385357,"$21,000,000.00 ",2017,875407.73
2883282,9/22/2017,PERMIT - RENOVATION/ALTERATION,41.79048488,-87.60143047,"$21,000,000.00 ",2017,875407.73
2939570,6/22/2018,PERMIT - RENOVATION/ALTERATION,41.87745041,-87.62592198,"$21,000,000.00 ",2018,9.00E+05
2779250,4/25/2017,PERMIT - NEW CONSTRUCTION,41.79940701,-87.59128321,"$22,000,000.00 ",2017,875407.73
2823853,6/21/2017,PERMIT - NEW CONSTRUCTION,41.89785533,-87.63178788,"$22,000,000.00 ",2017,875407.73
2919600,2/23/2018,PERMIT - RENOVATION/ALTERATION,41.88585874,-87.627574,"$22,100,000.00 ",2018,9.00E+05
2769308,12/12/2017,PERMIT - NEW CONSTRUCTION,41.90668926,-87.62650306,"$23,000,000.00 ",2017,875407.73
2895658,12/29/2017,PERMIT - NEW CONSTRUCTION,42.00507612,-87.69021903,"$23,000,000.00 ",2017,875407.73
2932806,4/12/2018,PERMIT - RENOVATION/ALTERATION,42.0085364,-87.91442844,"$23,000,000.00 ",2018,9.00E+05
2905552,4/30/2018,PERMIT - RENOVATION/ALTERATION,41.88787485,-87.63088485,"$23,000,000.00 ",2018,9.00E+05
2888418,12/28/2017,PERMIT - NEW CONSTRUCTION,41.95410087,-87.71996013,"$23,600,000.00 ",2017,875407.73
2912870,4/20/2018,PERMIT - NEW CONSTRUCTION,41.95410087,-87.71996013,"$23,600,000.00 ",2018,9.00E+05
2925791,6/8/2018,PERMIT - NEW CONSTRUCTION,41.76918361,-87.63035006,"$23,929,942.00 ",2018,9.00E+05
2928867,5/3/2018,PERMIT - NEW CONSTRUCTION,42.00507612,-87.69021903,"$24,000,000.00 ",2018,9.00E+05
2795320,6/27/2017,PERMIT - NEW CONSTRUCTION,41.92401776,-87.69754238,"$24,500,000.00 ",2017,875407.73
2793147,3/28/2017,PERMIT - NEW CONSTRUCTION,41.83692177,-87.62878939,"$25,000,000.00 ",2017,875407.73
2800493,6/22/2017,PERMIT - NEW CONSTRUCTION,41.95220766,-87.64948924,"$25,000,000.00 ",2017,875407.73
2802274,4/3/2017,PERMIT - NEW CONSTRUCTION,41.95286969,-87.64934018,"$25,000,000.00 ",2017,875407.73
2832203,10/19/2017,PERMIT - NEW CONSTRUCTION,41.94622136,-87.66869502,"$25,000,000.00 ",2017,875407.73
2876162,12/21/2017,PERMIT - NEW CONSTRUCTION,41.89493551,-87.63172085,"$25,000,000.00 ",2017,875407.73
2915517,2/5/2018,PERMIT - RENOVATION/ALTERATION,41.72173497,-87.62457092,"$25,000,000.00 ",2018,9.00E+05
2895555,3/6/2018,PERMIT - RENOVATION/ALTERATION,41.89233781,-87.60404476,"$25,000,000.00 ",2018,9.00E+05
2811664,1/31/2017,PERMIT - NEW CONSTRUCTION,41.8874644,-87.61786023,"$26,000,000.00 ",2017,875407.73
2891108,2/1/2018,PERMIT - NEW CONSTRUCTION,41.75494404,-87.72455156,"$26,271,000.00 ",2018,9.00E+05
2904933,3/6/2018,PERMIT - NEW CONSTRUCTION,41.98716263,-87.84264485,"$26,500,000.00 ",2018,9.00E+05
2902047,3/13/2018,PERMIT - NEW CONSTRUCTION,41.8852696,-87.65693588,"$27,000,000.00 ",2018,9.00E+05
2818034,3/14/2017,PERMIT - NEW CONSTRUCTION,41.87159625,-87.67582148,"$28,700,000.00 ",2017,875407.73
2829253,6/12/2017,PERMIT - RENOVATION/ALTERATION,41.89665988,-87.62175524,"$29,139,896.00 ",2017,875407.73
2808441,7/26/2017,PERMIT - NEW CONSTRUCTION,41.96121763,-87.65245855,"$30,000,000.00 ",2017,875407.73
2846081,8/25/2017,PERMIT - NEW CONSTRUCTION,41.9173351,-87.68845365,"$30,000,000.00 ",2017,875407.73
2848230,7/6/2017,PERMIT - NEW CONSTRUCTION,42.0085364,-87.91442844,"$30,000,000.00 ",2017,875407.73
2855881,11/7/2017,PERMIT - NEW CONSTRUCTION,41.8940497,-87.63803116,"$30,000,000.00 ",2017,875407.73
2882897,9/25/2017,PERMIT - NEW CONSTRUCTION,41.8917668,-87.61575192,"$30,000,000.00 ",2017,875407.73
2873056,12/6/2017,PERMIT - NEW CONSTRUCTION,42.00782052,-87.66471558,"$30,000,000.00 ",2017,875407.73
2865151,9/19/2017,PERMIT - RENOVATION/ALTERATION,41.99933518,-87.66081692,"$32,000,000.00 ",2017,875407.73
2879916,1/26/2018,PERMIT - RENOVATION/ALTERATION,41.88140721,-87.63715509,"$32,410,476.00 ",2018,9.00E+05
2831601,4/26/2017,PERMIT - NEW CONSTRUCTION,41.90342906,-87.66912961,"$32,500,000.00 ",2017,875407.73
2833674,8/4/2017,PERMIT - NEW CONSTRUCTION,41.88447943,-87.64962855,"$32,689,000.00 ",2017,875407.73
2870916,8/8/2017,PERMIT - RENOVATION/ALTERATION,42.0085364,-87.91442844,"$33,041,541.00 ",2017,875407.73
2831533,8/28/2017,PERMIT - NEW CONSTRUCTION,41.87159625,-87.67582148,"$33,850,000.00 ",2017,875407.73
2810437,8/16/2017,PERMIT - NEW CONSTRUCTION,41.88320999,-87.64997262,"$34,000,000.00 ",2017,875407.73
2855010,10/6/2017,PERMIT - NEW CONSTRUCTION,41.77382587,-87.79974194,"$34,000,000.00 ",2017,875407.73
2870801,8/8/2017,PERMIT - RENOVATION/ALTERATION,42.0085364,-87.91442844,"$34,339,000.00 ",2017,875407.73
2806110,1/27/2017,PERMIT - NEW CONSTRUCTION,41.92148453,-87.66702583,"$36,000,000.00 ",2017,875407.73
2831596,9/1/2017,PERMIT - NEW CONSTRUCTION,41.86008868,-87.62863612,"$36,000,000.00 ",2017,875407.73
2774559,2/27/2017,PERMIT - NEW CONSTRUCTION,41.8637392,-87.62392413,"$38,000,000.00 ",2017,875407.73
2888976,11/6/2017,PERMIT - NEW CONSTRUCTION,41.88290531,-87.65480386,"$38,300,000.00 ",2017,875407.73
2816664,5/24/2017,PERMIT - NEW CONSTRUCTION,41.64900754,-87.55916463,"$40,000,000.00 ",2017,875407.73
2909967,3/15/2018,PERMIT - NEW CONSTRUCTION,42.0085364,-87.91442844,"$40,000,000.00 ",2018,9.00E+05
2880269,4/9/2018,PERMIT - NEW CONSTRUCTION,41.88349824,-87.63720027,"$40,000,000.00 ",2018,9.00E+05
2862697,10/11/2017,PERMIT - NEW CONSTRUCTION,41.88594496,-87.65346178,"$40,335,000.00 ",2017,875407.73
2808846,2/17/2017,PERMIT - NEW CONSTRUCTION,41.88338658,-87.65339165,"$42,000,000.00 ",2017,875407.73
2792220,3/23/2017,PERMIT - NEW CONSTRUCTION,41.92560232,-87.64638177,"$42,500,000.00 ",2017,875407.73
2919907,5/24/2018,PERMIT - NEW CONSTRUCTION,41.8831765,-87.65542538,"$44,000,000.00 ",2018,9.00E+05
2815550,1/11/2017,PERMIT - RENOVATION/ALTERATION,41.88115309,-87.6321957,"$45,000,000.00 ",2017,875407.73
2829484,6/1/2017,PERMIT - NEW CONSTRUCTION,42.0085364,-87.91442844,"$45,000,000.00 ",2017,875407.73
2831611,6/19/2017,PERMIT - NEW CONSTRUCTION,41.96263002,-87.65043043,"$45,000,000.00 ",2017,875407.73
2913575,5/17/2018,PERMIT - NEW CONSTRUCTION,41.87225871,-87.62609461,"$45,000,000.00 ",2018,9.00E+05
2906592,4/30/2018,PERMIT - NEW CONSTRUCTION,41.95463093,-87.7964547,"$49,500,000.00 ",2018,9.00E+05
2791673,2/6/2017,PERMIT - NEW CONSTRUCTION,41.87289177,-87.63373989,"$50,000,000.00 ",2017,875407.73
2816405,8/3/2017,PERMIT - NEW CONSTRUCTION,41.9479656,-87.65729854,"$50,000,000.00 ",2017,875407.73
2832782,8/4/2017,PERMIT - RENOVATION/ALTERATION,41.87856015,-87.63652387,"$50,000,000.00 ",2017,875407.73
2835564,6/21/2017,PERMIT - NEW CONSTRUCTION,41.88780562,-87.63682821,"$50,000,000.00 ",2017,875407.73
2858431,9/27/2017,PERMIT - NEW CONSTRUCTION,41.88939336,-87.62651457,"$52,000,000.00 ",2017,875407.73
2849677,6/19/2017,PERMIT - NEW CONSTRUCTION,42.0085364,-87.91442844,"$53,300,000.00 ",2017,875407.73
2879496,12/21/2017,PERMIT - NEW CONSTRUCTION,41.8856992,-87.64878909,"$54,500,000.00 ",2017,875407.73
2872064,10/26/2017,PERMIT - NEW CONSTRUCTION,41.92454803,-87.64729385,"$55,800,000.00 ",2017,875407.73
